date,team_A,team_B,goals_A,goals_B,tournament,city,country,neutral,elo_A,elo_B,elo_diff,label,A_wins_last5,A_draws_last5,A_loss_last5,A_gf_avg_last5,A_ga_avg_last5,A_gd_avg_last5,B_wins_last5,B_draws_last5,B_loss_last5,B_gf_avg_last5,B_ga_avg_last5,B_gd_avg_last5,match_importance
2006-05-30,Tunisia,Belarus,3,0,Friendly,Radès,Tunisia,False,1690.0,1584.0,106.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-30,Poland,Colombia,1,2,Friendly,Chorzów,Poland,False,1837.0,1760.0,77.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-30,Argentina,Angola,2,0,Friendly,Salerno,Italy,True,1917.0,1549.0,368.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-30,Germany,Japan,2,2,Friendly,Leverkusen,Germany,False,1881.0,1789.0,92.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-30,England,Hungary,3,1,Friendly,Manchester,England,False,1968.0,1625.0,343.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-31,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,False,1795.0,1949.0,-154.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-31,Singapore,Malaysia,0,0,Friendly,Singapore,Singapore,False,1340.0,1162.0,178.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-31,Georgia,Paraguay,0,1,Friendly,Dornbirn,Austria,True,1512.0,1767.0,-255.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-31,France,Denmark,2,0,Friendly,Lens,France,False,1955.0,1900.0,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-01,Netherlands,Mexico,2,1,Friendly,Eindhoven,Netherlands,False,1995.0,1841.0,154.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Italy,Ukraine,0,0,Friendly,Lausanne,Switzerland,True,1949.0,1791.0,158.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Sweden,Chile,1,1,Friendly,Solna,Sweden,False,1874.0,1761.0,113.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Liechtenstein,Togo,0,1,Friendly,Vaduz,Liechtenstein,False,1202.0,1454.0,-252.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Angola,Turkey,2,3,Friendly,Sittard,Netherlands,True,1549.0,1845.0,-296.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Tunisia,Uruguay,0,0,Friendly,Radès,Tunisia,False,1690.0,1816.0,-126.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Libya,Belarus,1,1,Friendly,Radès,Tunisia,True,1447.0,1584.0,-137.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,Germany,Colombia,3,0,Friendly,Mönchengladbach,Germany,False,1881.0,1760.0,121.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-03,Croatia,Poland,0,1,Friendly,Wolfsburg,Germany,True,1847.0,1837.0,10.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-03,Spain,Egypt,2,0,Friendly,Elche,Spain,False,1961.0,1705.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
